"r1","r2","commit","bug","msg_size","author_experience","nbr_insert_line_commit","nbr_deleted_line_commit","nbr_churn_file_commit","week_day","month_day","month","MaxNesting","CountDeclFunction","Cyclomatic","CountLineCode","CountStmtDecl","CountLineBlank_Php","RatioCommentToCode","freq","pic","predict"
"2.5.1","2.6","6762f616",0,9,3442,12,8,1,"Thu",15,"May",3,5,14,408,5,59,0.04,0,"0","1"
"4.3.1","4.4","b9d9c6d3",1,46,81,2,2,2,"Fri",6,"Nov",4,73,1,931,92,230,0.98,0,"0","1"
"4.3.1","4.4","f0bbe008",1,12,1945,33,21,7,"Wed",18,"Nov",0,0,1,6,0,4,4.17,0,"0","1"
"3.3.2","3.4","ea65aae0",1,8,7123,1,1,1,"Sat",5,"May",7,142,1,2582,184,729,0.79,0,"0","1"
"2.9.2","3.0","37604414",1,9,887,25,15,4,"Sat",29,"May",4,17,1,814,24,121,0.18,0,"0","1"
"2.8.6","2.9","ddad3fa4",0,2,5322,1,0,1,"Fri",19,"Jun",7,59,1,1431,141,345,0.65,0,"0","1"
"4.3.1","4.4","aeaea96b",1,17,322,2,2,2,"Wed",18,"Nov",0,0,1,6,0,4,4.17,0,"0","1"
"3.4.2","3.5","a29e0190",0,7,264,91,91,35,"Sat",3,"Nov",2,16,1,551,25,163,0.31,0,"0","1"
"2.0","2.0.1","63e1963e",1,7,731,20,14,1,"Thu",5,"Jan",5,0,44,659,0,39,0.01,0,"0","1"
"4.3.1","4.4","9974c9b1",1,60,177,16,8,6,"Sat",14,"Nov",0,0,1,6,0,4,4.17,0,"0","1"
"3.3.2","3.4","0a22489d",1,10,7123,1,1,1,"Tue",12,"Jun",4,45,1,625,76,148,0.98,0,"0","1"
"4.5.3","4.6","de3b2db1",1,62,1011,32,13,4,"Tue",5,"Jul",0,0,1,6,0,4,4.17,0,"0","1"
"4.3.1","4.4","32dda547",1,48,499,71,35,2,"Sat",3,"Oct",0,0,1,6,0,4,4.17,0,"0","1"
"2.5.1","2.6","5564bccc",0,9,3442,37,24,4,"Sun",25,"May",2,5,11,387,5,68,0.01,0,"0","1"
"3.0.5","3.1","98ea55a0",1,10,6486,10,0,1,"Mon",12,"Jul",4,0,40,140,1,48,0.22,0,"0","1"
"2.7.1","2.8","e976dca6",0,8,5042,1,1,1,"Wed",18,"Feb",5,1,27,198,2,39,0.12,0,"0","1"
"3.1","3.1.1","64a20e2a",1,38,6510,20,5,4,"Wed",9,"Feb",3,1,36,183,1,40,0.2,0,"0","1"
"2.9.2","3.0","9492517a",1,15,887,24,24,1,"Fri",12,"Mar",4,0,12,59,1,10,0,0,"0","1"
"4.6.1","4.7","4d44eead",0,24,285,4,4,2,"Wed",19,"Oct",3,0,11,95,1,17,0.33,0,"0","1"
"4.4.2","4.5","4e3df608",0,6,145,4,4,2,"Wed",30,"Mar",0,0,1,6,0,4,4.17,0,"0","1"
"4.3.1","4.4","b23005d7",1,41,443,81,185,34,"Fri",9,"Oct",0,0,1,6,0,4,4.17,0,"0","1"
"2.5.1","2.6","f6d12743",0,31,3442,46,12,2,"Tue",13,"May",2,2,9,328,2,55,0.01,0,"0","1"
"2.9.2","3.0","2afc1481",1,8,6042,7,1,1,"Tue",27,"Apr",8,0,64,320,0,71,0.17,0,"0","1"
"2.7.1","2.8","0c56f702",0,1,5042,223,223,1,"Fri",24,"Apr",3,16,2,228,17,43,0.22,0,"0","1"
"2.7.1","2.8","fc523a99",1,10,5042,7,5,1,"Tue",26,"May",7,59,1,1427,141,345,0.66,0,"0","1"
"3.9.2","4.0","3f17e704",1,39,842,31,3,5,"Thu",7,"Aug",6,64,1,1652,81,350,0.8,0,"0","1"
"2.8.6","2.9","0dba5edd",1,19,682,35,15,3,"Sat",20,"Jun",6,44,45,923,58,238,0.67,0,"0","1"
"4.0.1","4.1","47742eae",1,61,136,10,4,2,"Thu",30,"Oct",0,0,1,6,0,4,4.17,0,"0","1"
"2.7.1","2.8","cb712c99",0,10,5042,8,7,2,"Fri",6,"Mar",5,4,68,306,6,89,0.77,0,"0","1"
"2.9.2","3.0","6d6532bf",1,18,887,2,2,2,"Sat",15,"May",5,0,76,341,0,75,0.04,0,"0","1"
"3.8.3","3.9","2d9dd497",1,24,208,1,1,1,"Wed",8,"Jan",7,131,1,2094,161,464,0.79,0,"0","1"
"4.6.1","4.7","552b1194",1,28,28,19,19,24,"Sun",23,"Oct",0,0,1,5,0,1,1.6,0,"0","1"
"2.9.2","3.0","31c4756a",0,15,6042,14,5,2,"Wed",14,"Apr",7,117,1,2260,160,652,0.78,0,"0","1"
"2.9.2","3.0","ceb1acf3",0,26,404,6,1,1,"Sun",28,"Mar",2,13,9,125,15,30,0.13,0,"0","1"
"3.6.1","3.7","c168ef72",1,19,2,10,3,1,"Sun",28,"Jul",2,0,19,161,0,36,0.08,0,"0","1"
"2.9.2","3.0","8b877773",1,17,887,41,31,3,"Wed",3,"Mar",5,1,53,297,1,53,0.09,0,"0","1"
"4.6.1","4.7","6c82930a",1,44,41,38,8,3,"Fri",4,"Nov",0,0,1,6,0,4,4.17,0,"0","1"
"3.1","3.1.1","4425fc36",1,15,6510,2,3,1,"Wed",16,"Feb",6,89,1,1771,180,446,0.74,0,"0","1"
"4.6.1","4.7","552b1194",1,28,28,19,19,24,"Sun",23,"Oct",2,0,4,20,0,4,0.4,0,"0","1"
"4.7.2","4.7.3","aa89522a",0,6,212,1,1,1,"Thu",26,"Jan",0,0,1,6,0,4,4.17,0,"0","1"
"3.7.1","3.8","1788d584",1,40,1703,113,50,2,"Thu",5,"Dec",4,25,1,774,31,161,0.24,0,"0","1"
"3.2.1","3.3","62f427a0",1,9,6889,39,39,1,"Thu",21,"Jul",7,136,1,2235,184,520,0.82,0,"0","1"
"4.0.1","4.1","866cfdf1",1,45,136,12,7,2,"Fri",14,"Nov",0,0,1,6,0,4,4.17,0,"0","1"
"4.6.1","4.7","2b81cedd",1,35,274,6,6,3,"Thu",10,"Nov",0,0,1,6,0,4,4.17,0,"0","1"
"4.0.1","4.1","47f89b1d",1,53,350,2,2,2,"Wed",26,"Nov",0,0,1,6,0,4,4.17,0,"0","1"
"4.6.1","4.7","7b0abd1c",1,78,173,26,15,6,"Thu",27,"Oct",0,0,1,6,0,4,4.17,0,"0","1"
"4.3.1","4.4","8941648e",1,18,1945,13,2,2,"Tue",13,"Oct",3,57,1,875,114,105,0.28,0,"0","1"
"2.9.2","3.0","c13744a0",0,10,887,4,4,2,"Fri",14,"May",8,0,102,643,0,60,0.02,0,"0","1"
"2.7.1","2.8","8cd2e92b",1,8,5042,3,0,1,"Mon",27,"Apr",6,40,1,739,81,221,1.31,0,"0","1"
"4.6.1","4.7","552b1194",1,28,28,19,19,24,"Sun",23,"Oct",3,0,6,37,1,14,0.54,0,"0","1"
"2.9.2","3.0","0dd13233",1,9,6042,43,37,1,"Wed",2,"Jun",4,7,1,199,13,56,0.57,0,"0","1"
"2.8.6","2.9","6622b4fa",1,13,5322,1,1,1,"Fri",11,"Dec",7,59,1,1464,141,346,0.64,0,"0","1"
"4.6.1","4.7","4e05ff6a",0,52,403,21,3,2,"Mon",21,"Nov",4,23,1,972,25,232,0.37,0,"0","1"
"2.5.1","2.6","967ee06a",0,16,3442,179,123,2,"Tue",13,"May",2,3,12,383,3,63,0.01,0,"0","1"
"4.3.1","4.4","c32357a9",0,19,1945,105,66,3,"Tue",6,"Oct",0,0,1,6,0,4,4.17,0,"0","1"
"2.9.2","3.0","321b1a61",1,16,6042,9,10,1,"Tue",11,"May",4,15,1,734,18,106,0.19,0,"0","1"
"2.5.1","2.6","1e811e87",1,13,447,2,2,2,"Wed",23,"Apr",4,0,29,257,0,38,0.03,0,"0","1"
"3.3.2","3.4","fcd29239",1,47,7123,32,26,4,"Mon",4,"Jun",4,31,1,960,39,205,0.19,0,"0","1"
