"r1","r2","commit","bug","msg_size","author_experience","nbr_insert_line_commit","nbr_deleted_line_commit","nbr_churn_file_commit","week_day","month_day","month","MaxNesting","CountDeclFunction","Cyclomatic","CountLineCode","CountStmtDecl","CountLineBlank_Php","RatioCommentToCode","freq","pic","predict"
"2.7.1","2.8","db80f0e7",0,8,5042,1,1,1,"Wed",22,"Apr",6,3,69,425,5,53,0.08,1,"1","0"
"3.3.2","3.4","21384672",0,18,313,2,1,1,"Wed",16,"May",5,0,35,229,0,44,0.05,1,"1","0"
"4.3.1","4.4","99f4fc44",0,25,696,2,2,2,"Mon",16,"Nov",5,75,1,2039,93,591,0.35,1,"1","0"
"4.5.3","4.6","9b2f385b",1,89,1011,3,2,2,"Fri",8,"Jul",5,33,1,444,47,119,1.06,1,"1","0"
"2.8.6","2.9","3b82000c",1,16,1042,8,5,1,"Sat",12,"Dec",5,5,79,354,8,101,0.81,6,"1","0"
"4.1","4.1.1","281b8022",1,64,248,45,15,2,"Thu",12,"Feb",3,0,21,78,0,17,0.27,4,"1","0"
"2.7.1","2.8","5bb3173d",0,7,802,1,2,2,"Fri",24,"Apr",5,78,1,2584,121,453,0.28,1,"1","0"
"4.5.3","4.6","d851a2cd",1,10,1443,4,4,2,"Sun",17,"Jul",0,0,1,6,0,4,4.17,3,"1","0"
"2.8.6","2.9","2892919a",0,4,5322,2,2,1,"Thu",19,"Nov",7,107,1,1918,142,557,0.82,2,"1","0"
"4.5.2","4.5.3","01fbbebf",0,18,30,3,3,3,"Tue",21,"Jun",5,75,1,2044,93,595,0.35,2,"1","0"
"4.4.2","4.5","3a2ef071",0,66,3251,40,12,5,"Sat",6,"Feb",0,0,1,6,0,4,4.17,1,"1","0"
"4.6.1","4.7","dc35c19f",1,28,28,19,19,24,"Sun",23,"Oct",2,0,4,33,0,13,0.64,12,"1","0"
"4.4.2","4.5","cbe5fc6f",1,15,817,14,5,2,"Tue",9,"Feb",7,26,1,592,33,147,0.67,4,"1","0"
"3.4.2","3.5","b0e29340",0,18,658,9,4,2,"Mon",1,"Oct",4,31,1,917,38,194,0.2,6,"1","0"
"2.9.2","3.0","f80b6092",0,7,887,3,3,2,"Wed",2,"Jun",1,0,14,286,0,25,0.03,3,"1","0"
"3.7.1","3.8","2b3e31d6",1,17,106,2,5,2,"Fri",29,"Nov",4,6,14,439,10,53,0.15,2,"1","0"
"3.2.1","3.3","f6047c39",0,8,1527,9,9,2,"Mon",5,"Dec",5,1,1,129,3,30,0.24,2,"1","0"
"3.9.2","4.0","8f73ec76",1,19,842,17,1,1,"Thu",7,"Aug",4,26,5,325,43,105,1.51,9,"1","0"
"3.4.2","3.5","1b995596",1,11,658,1,1,1,"Tue",11,"Sep",6,43,1,806,83,232,1.29,1,"1","0"
"4.3.1","4.4","ffb8ae1a",0,10,1945,2,2,2,"Thu",24,"Sep",0,0,1,6,0,4,4.17,1,"1","0"
"3.5.2","3.6","5744245c",1,16,207,1,1,1,"Tue",25,"Jun",5,0,41,255,0,46,0.04,1,"1","0"
"4.1","4.1.1","73ce2607",1,60,248,29,17,1,"Tue",10,"Feb",6,14,1,459,23,145,0.87,12,"1","0"
"3.4","3.4.1","9f844ee1",1,38,164,5,20,3,"Mon",25,"Jun",6,43,1,806,83,232,1.29,2,"1","0"
"4.6.1","4.7","7eece8b1",0,15,285,2,2,2,"Wed",19,"Oct",7,25,1,589,32,149,0.65,1,"1","0"
"2.3.3","2.5","21d3dd2a",1,14,423,2,1,1,"Wed",6,"Feb",7,41,1,444,46,110,0.03,2,"1","0"
"4.3.1","4.4","a579aad0",1,53,328,17,2,1,"Fri",23,"Oct",6,102,1,3214,114,1018,0.68,6,"1","0"
"2.3.1","2.3.2","9495e906",1,12,2083,8,0,2,"Wed",7,"Nov",5,70,1,1404,114,381,0.09,4,"1","0"
"3.7.1","3.8","f665c7ee",0,36,1703,21,22,1,"Thu",14,"Nov",5,70,1,1215,83,237,0.8,7,"1","0"
"2.0.4","2.0.5","23ddeba6",1,13,44,5,4,2,"Wed",4,"Oct",5,151,2,1956,245,457,0.06,3,"1","0"
"4.4.2","4.5","27e29666",1,138,156,4,1,2,"Sun",6,"Mar",0,0,1,6,0,4,4.17,1,"1","0"
"4.4.2","4.5","f1c0ed71",1,45,604,4,1,2,"Sat",6,"Feb",6,106,1,2347,213,607,0.91,1,"1","0"
"2.2.3","2.3","dbd3d072",1,6,349,21,3,3,"Tue",18,"Sep",5,25,26,479,35,131,0.12,5,"1","0"
"2.9.2","3.0","5398fafd",0,26,887,16,0,2,"Thu",27,"May",4,0,63,347,0,90,0.05,2,"1","0"
"3.2.1","3.3","4a610eaa",0,22,1002,52,46,3,"Fri",12,"Aug",7,14,1,291,33,74,0.84,16,"1","0"
"4.3.1","4.4","340b7a52",1,7,696,3,3,2,"Thu",24,"Sep",4,0,74,457,1,101,0.4,2,"1","0"
"3.2.1","3.3","3aed7560",0,16,2107,13,2,1,"Thu",1,"Dec",5,3,1,401,8,43,0.33,1,"1","0"
"3.3.2","3.4","2a615d27",1,7,2615,13,21,1,"Fri",27,"Apr",5,0,47,234,0,48,0.04,13,"1","0"
"3.7.1","3.8","618406d0",1,11,1703,2,2,1,"Wed",4,"Dec",2,16,1,604,25,178,0.31,2,"1","0"
"4.5.3","4.6","2ecdbf36",1,60,23,3,3,2,"Wed",13,"Jul",0,0,1,6,0,4,4.17,1,"1","0"
"2.9.2","3.0","e4aabba9",1,10,887,1,1,1,"Sun",4,"Apr",7,79,1,1481,89,256,0.75,1,"1","0"
"2.0","2.0.1","3fa51b52",1,13,731,2,2,1,"Fri",20,"Jan",5,55,1,1346,131,280,0.08,1,"1","0"
"3.4.2","3.5","e52a437b",1,14,264,45,3,1,"Mon",26,"Nov",3,14,1,243,16,65,0.66,2,"1","0"
"2.8.6","2.9","e2c408bf",1,11,5322,1,1,1,"Thu",10,"Dec",4,30,1,310,35,47,0.09,1,"1","0"
"2.0","2.0.1","f6c66d87",1,13,731,1,0,1,"Wed",18,"Jan",5,55,1,1346,131,280,0.08,1,"1","0"
"2.9.2","3.0","b56ae0e0",0,12,404,68,48,6,"Mon",1,"Mar",2,13,1,485,20,144,0.28,21,"1","0"
"3.6.1","3.7","32917eb0",1,14,1413,1,1,1,"Wed",2,"Oct",5,70,1,1193,83,233,0.81,1,"1","0"
"3.6.1","3.7","77a7702d",0,31,80,9,4,1,"Wed",25,"Sep",4,5,74,498,8,114,0.16,2,"1","0"
"4.6.1","4.7","6c435f5a",1,29,28,24,6,3,"Wed",9,"Nov",0,0,1,6,0,4,4.17,1,"1","0"
"3.3.2","3.4","58050466",1,32,2615,1,1,1,"Wed",25,"Apr",6,88,1,2894,100,933,0.4,1,"1","0"
"4.6.1","4.7","863505cf",1,25,403,2,2,2,"Mon",21,"Nov",0,0,1,6,0,4,4.17,1,"1","0"
"3.4.2","3.5","884a8905",0,22,658,1,4,1,"Tue",11,"Sep",6,19,1,792,38,206,0.12,1,"1","0"
"2.9.2","3.0","44ae35ec",1,21,404,7,4,2,"Fri",2,"Apr",3,0,47,213,0,46,0.09,2,"1","0"
"2.5.1","2.6","2abe38c5",0,3,3442,1,1,1,"Thu",8,"May",2,39,1,298,58,67,1.37,1,"1","0"
"2.3.3","2.5","4e456034",0,9,2995,17,7,8,"Tue",4,"Mar",3,24,1,510,39,131,0.08,2,"1","0"
"2.9.2","3.0","f423a2ee",1,5,887,37,33,1,"Wed",24,"Feb",4,36,2,582,81,152,1.38,14,"1","0"
"2.9.2","3.0","6a201c6b",1,14,887,6,3,1,"Fri",2,"Apr",4,5,11,286,7,37,0.19,1,"1","0"
"4.3.1","4.4","c332da3e",0,12,1248,5,3,2,"Tue",13,"Oct",0,0,1,6,0,4,4.17,1,"1","0"
"2.8.6","2.9","f296da81",0,6,1042,5,9,2,"Sat",28,"Nov",4,48,1,910,71,262,0.78,4,"1","0"
"4.6.1","4.7","6f13b829",0,23,293,2,2,2,"Wed",2,"Nov",0,0,1,6,0,4,4.17,1,"1","0"
"2.7.1","2.8","a1d5fbae",1,20,5042,1,7,1,"Thu",14,"May",6,40,1,734,81,221,1.33,1,"1","0"
"3.2.1","3.3","4a610eaa",0,22,1002,52,46,3,"Fri",12,"Aug",6,43,1,785,83,227,1.26,16,"1","0"
"3.4.2","3.5","1f9d02ab",0,13,264,3,3,2,"Thu",4,"Oct",5,55,1,1402,68,356,0.06,1,"1","0"
"4.3.1","4.4","43d1ab47",0,33,499,10,3,3,"Fri",4,"Dec",0,0,1,6,0,4,4.17,6,"1","0"
"3.5.2","3.6","cbf77c65",0,37,329,34,34,3,"Thu",18,"Jul",7,127,1,2023,154,431,0.8,12,"1","0"
"2.8.6","2.9","908c4a24",1,10,682,1,1,1,"Sun",22,"Nov",5,19,1,602,24,87,0.31,1,"1","0"
"3.5.2","3.6","24553b2f",1,37,263,20,14,1,"Mon",15,"Jul",2,2,1,105,2,21,0.07,9,"1","0"
"2.3.3","2.5","f2313a90",1,9,2995,11,9,1,"Fri",22,"Feb",5,39,2,814,56,141,0.07,3,"1","0"
"3.7.1","3.8","1832d880",0,11,1703,2,1,1,"Fri",15,"Nov",4,7,1,235,9,50,0.52,1,"1","0"
"2.7.1","2.8","aea091d8",1,8,802,4,5,1,"Sun",10,"May",3,5,1,136,10,30,0.35,3,"1","0"
