r1,r2,commit,author_experience,MaxNestings,CountDeclFunction,Cyclomatics,CountLineCodes,CountStmtDecls,CountLineBlank_php,RatioCommentToCodes,bug,msg_size,nbr_insert_line_commit,nbr_deleted_line_commit,nbr_churn_file_commit,week_day,month_day,month,freq,pic
2.0,2.0.1,00e695e6,623,4,47,1,766,76,168,0.06,0,2,75,39,3,5,29,12,0,0
2.0,2.0.1,02089fb5,655,5,141,2,1753,233,422,0.06,1,6,1,1,1,6,6,1,1,1
2.0,2.0.1,0275a631,642,7,23,1,551,28,63,0.09,1,6,1,1,1,4,4,1,0,0
2.0,2.0.1,042f170e,700,4,3,30,161,4,47,0.14,1,9,0,2,1,6,20,1,0,0
2.0,2.0.1,05188cd4,650,4,21,1,300,44,78,0.04,0,8,3,1,1,5,5,1,1,1
2.0,2.0.1,07842274,656,4,0,11,119,0,25,0,1,7,1,1,1,7,7,1,0,0
2.0,2.0.1,095edb0a,627,4,0,14,108,0,21,0.1,1,10,3,2,1,5,29,12,0,0
2.0,2.0.1,0962ff9b,663,6,0,75,333,0,88,0.02,1,8,1,1,1,2,9,1,0,0
2.0,2.0.1,0b1e3030,1558,3,0,20,149,0,23,0,0,3,1,1,1,5,5,1,0,0
2.0,2.0.1,0ca2b56f,1569,5,26,1,417,40,119,0.09,1,4,5,2,1,3,17,1,0,0
2.0,2.0.1,107326dc,663,4,23,3,292,26,91,0.68,0,6,6,2,1,3,10,1,0,0
2.0,2.0.1,10c1b81d,717,5,141,2,1767,233,422,0.06,0,5,1,1,1,5,26,1,1,1
2.0,2.0.1,150fb02a,678,4,23,1,323,47,87,0.04,0,5,6,1,1,7,14,1,0,0
2.0,2.0.1,19b29d08,695,3,0,31,362,0,37,0.01,0,13,16,12,3,4,18,1,11,1
2.0,2.0.1,1fe8b77d,723,1,0,2,15,0,4,0,1,4,5,3,1,1,29,1,0,0
2.0,2.0.1,240128b7,618,4,41,1,1001,88,233,0.1,0,15,39,15,2,4,28,12,17,1
2.0,2.0.1,2514ca2b,1569,6,12,1,371,12,23,0,0,2,1,1,1,3,17,1,0,0
2.0,2.0.1,2c5c084c,701,5,0,44,669,0,41,0.01,1,3,27,17,1,7,21,1,1,1
2.0,2.0.1,305a286c,618,4,17,7,506,35,113,0.09,1,7,26,17,6,4,28,12,8,1
2.0,2.0.1,30be2a8f,696,5,141,2,1759,233,422,0.06,1,5,1,1,1,5,19,1,0,0
2.0,2.0.1,325a641c,726,5,141,2,1770,233,423,0.06,1,13,4,0,1,1,29,1,0,0
2.0,2.0.1,365a7b5e,617,4,0,26,154,0,16,0.05,1,17,1,1,1,4,28,12,0,0
2.0,2.0.1,38f4fca0,627,3,2,23,130,2,28,0.12,1,6,4,4,2,5,29,12,0,0
2.0,2.0.1,3904108d,666,2,8,2,68,14,25,0.06,0,5,14,20,1,3,10,1,15,1
2.0,2.0.1,39195303,623,4,29,1,685,47,189,0.11,0,3,13,3,1,5,29,12,0,0
2.0,2.0.1,392ba189,709,0,0,1,4,0,3,0.25,0,3,1,1,1,3,24,1,0,0
2.0,2.0.1,395b6dbc,694,3,15,16,305,24,86,0.06,1,12,5,5,1,4,18,1,0,0
2.0,2.0.1,3addf81b,676,2,0,13,69,0,2,0,1,8,2,2,1,6,13,1,2,1
2.0,2.0.1,3fa51b52,700,5,55,1,1346,131,280,0.08,1,13,2,2,1,6,20,1,1,1
2.0,2.0.1,410206ab,663,3,0,23,211,0,36,0.01,1,6,8,0,2,2,9,1,2,1
2.0,2.0.1,41a37302,631,2,0,9,287,0,42,0,1,4,2,2,1,7,31,12,0,0
2.0,2.0.1,43abf185,681,5,0,44,660,0,40,0.01,1,6,2,0,1,1,15,1,1,1
2.0,2.0.1,45863965,687,7,36,1,850,41,93,0.13,0,2,6,1,1,4,18,1,0,0
2.0,2.0.1,4c08bf3d,709,3,1,18,106,1,21,0.08,0,8,7,0,1,3,24,1,0,0
2.0,2.0.1,4dcbfe9b,696,4,23,1,323,47,87,0.04,0,8,1,1,1,4,18,1,0,0
2.0,2.0.1,4f895adf,730,6,78,2,1466,126,325,0.06,1,7,1,1,1,2,30,1,0,0
2.0,2.0.1,515892d7,687,4,20,15,234,33,64,0.12,0,2,20,4,2,4,18,1,0,0
2.0,2.0.1,51944d9f,1572,4,0,9,59,0,1,0.14,1,5,5,2,1,2,23,1,0,0
2.0,2.0.1,529d5294,619,3,9,1,119,13,34,0.06,0,4,144,4,2,4,28,12,7,1
2.0,2.0.1,537e956f,730,0,0,1,154,0,24,0,1,9,1,0,1,2,30,1,0,0
2.0,2.0.1,55871107,670,4,23,3,291,26,91,0.67,1,9,5,6,1,6,13,1,0,0
2.0,2.0.1,58029f72,676,4,30,1,707,48,191,0.11,1,7,1,1,1,6,13,1,0,0
2.0,2.0.1,5c166af3,720,3,70,2,891,116,213,0.03,1,5,9,1,2,7,28,1,0,0
2.0,2.0.1,60ccea94,730,3,33,3,852,49,346,0.12,1,14,2,1,1,2,30,1,0,0
2.0,2.0.1,63e1963e,655,5,0,44,659,0,39,0.01,1,7,20,14,1,5,5,1,0,0
2.0,2.0.1,672d9d,631,5,55,1,1343,130,280,0.08,1,17,8,1,1,7,31,12,5,1
2.0,2.0.1,6a4f2fbe,705,5,141,2,1763,233,422,0.06,1,6,4,1,1,2,23,1,0,0
2.0,2.0.1,6d40d776,623,3,31,1,767,48,267,0.12,0,3,2,2,2,5,29,12,0,0
2.0,2.0.1,6db55e81,642,5,55,1,1343,130,280,0.08,1,10,2,2,1,4,4,1,2,1
2.0,2.0.1,6ff52442,696,5,141,2,1759,233,422,0.06,1,15,5,0,1,4,18,1,4,1
2.0,2.0.1,710a6ef5,716,5,26,1,412,37,124,0.09,1,4,36,36,1,4,25,1,0,0
2.0,2.0.1,72dfd6fa,716,5,55,1,1349,131,279,0.08,1,7,1,1,1,4,25,1,0,0
2.0,2.0.1,73103463,705,6,0,23,124,0,36,0.06,1,8,4,2,1,2,23,1,0,0
2.0,2.0.1,759faa6b,1561,3,0,22,159,0,23,0.02,0,4,334,322,15,3,10,1,25,1
2.0,2.0.1,778923ce,650,5,141,2,1753,233,422,0.06,1,7,3,0,1,5,5,1,2,1
2.0,2.0.1,78d25a02,1569,6,79,2,1470,127,325,0.06,1,7,1,0,1,3,17,1,0,0
2.0,2.0.1,795609c9,684,3,0,20,149,0,23,0,1,7,1,1,1,2,16,1,0,0
2.0,2.0.1,7cba6fd9,709,4,39,9,788,63,175,0.04,0,9,2,1,2,3,24,1,0,0
2.0,2.0.1,7ce71f80,730,0,0,0,0,0,0,0,0,2,0,0,0,4,1,2,0,0
2.0,2.0.1,7d7b3241,1574,0,0,1,4,0,3,0.25,0,1,2,2,1,3,31,1,0,0
2.0,2.0.1,7ff17cba,616,3,0,18,102,0,18,0.08,1,6,1,0,1,4,28,12,0,0
2.0,2.0.1,807f5ded,635,4,25,1,491,45,131,0.07,1,11,9,3,2,2,2,1,0,0
2.0,2.0.1,813d3c77,666,5,30,4,559,43,88,0.11,1,6,4,4,2,3,10,1,0,0
2.0,2.0.1,8154a9f6,663,0,0,1,4,0,3,0.25,0,2,2,2,1,2,9,1,0,0
2.0,2.0.1,81908816,726,4,30,1,708,48,191,0.11,0,9,4,1,1,1,29,1,0,0
2.0,2.0.1,81cb9e9d,650,4,30,1,707,48,191,0.11,0,3,0,4,1,5,5,1,0,0
2.0,2.0.1,81f0c504,618,7,20,1,605,35,131,0.2,0,6,1,0,1,4,28,12,0,0
2.0,2.0.1,84da5fc9,655,4,12,15,232,24,63,0.1,1,9,3,1,2,6,6,1,0,0
2.0,2.0.1,86d3dbb8,681,4,24,1,415,41,101,0.05,1,10,1,1,1,1,15,1,0,0
2.0,2.0.1,88e32d34,663,3,34,4,579,57,131,0.07,1,9,59,33,5,2,9,1,1,1
2.0,2.0.1,8906eb25,617,5,54,1,1314,129,277,0.08,1,16,7,2,1,4,28,12,0,0
2.0,2.0.1,8cdc22e3,627,2,2,19,68,3,12,0.01,1,8,4,3,1,5,29,12,0,0
2.0,2.0.1,90b30046,1569,5,141,2,1754,233,422,0.06,1,6,1,1,1,2,16,1,0,0
2.0,2.0.1,90fc6942,631,3,15,1,356,24,97,0.14,1,6,11,4,2,7,31,12,0,0
2.0,2.0.1,937e73d0,676,4,23,1,320,47,86,0.04,0,5,42,16,1,7,14,1,14,1
2.0,2.0.1,9675f5fd,650,2,13,4,177,24,47,0.18,0,9,28,82,2,5,5,1,14,1
2.0,2.0.1,96abeca9,667,5,55,1,1345,131,280,0.08,0,9,5,3,1,4,11,1,3,1
2.0,2.0.1,97749ecf,617,6,79,2,1461,127,325,0.06,1,8,5,3,1,4,28,12,4,1
2.0,2.0.1,9865911b,1569,6,79,2,1469,127,325,0.06,1,7,1,1,1,2,16,1,0,0
2.0,2.0.1,99385a2f,716,4,30,4,638,44,121,0.07,0,3,28,5,4,4,25,1,12,1
2.0,2.0.1,9a6867aa,705,5,27,37,840,65,183,0.05,1,7,7,2,2,2,23,1,2,1
2.0,2.0.1,9afb7a18,714,4,0,14,108,0,21,0.1,1,5,2,2,1,4,25,1,0,0
2.0,2.0.1,9c9f5f8a,650,5,55,1,1343,130,280,0.08,1,9,1,1,1,5,5,1,0,0
2.0,2.0.1,9cff7433,716,4,37,1,307,62,81,0.11,1,6,1,1,1,4,25,1,0,0
2.0,2.0.1,a191df00,719,5,141,2,1767,233,422,0.06,1,11,1,1,1,6,27,1,0,0
2.0,2.0.1,a225d305,719,3,15,16,317,24,88,0.07,0,12,16,0,1,6,27,1,0,0
2.0,2.0.1,a2f93dd3,1569,0,0,0,0,0,0,0,1,8,4,0,1,3,17,1,0,0
